,Distance,Mg_bf
0,0.0,243.22203430243414
1,4.72209,243.21323539430819
2,9.46848,245.79039739684464
3,14.1853,236.76490088501117
4,18.8497,231.81514015784342
5,28.3747,243.84016099139487
6,52.0343,245.54616711873538
7,56.6937,248.38013085836477
8,61.4919,247.59924803424536
9,75.6759,248.25148935638668
10,103.988,247.4602678622383
11,113.52,246.14526561741863
12,132.369,245.99713398192705
13,137.072,248.9897468989276
14,160.733,239.644854731371
15,170.196,240.42917869663785
16,189.045,235.46754524073066
17,245.861,230.80460760649635
18,250.535,232.42311130084894
19,255.252,234.48044805327595
20,259.999,233.7449557083262
21,269.437,240.188885309757
22,283.711,233.86438795288717
23,293.084,227.85541051833366
24,297.839,230.7134453528401
25,307.27,236.88484779492737
26,312.024,239.38525257060363
27,321.463,234.7513761337585
28,326.215,237.8655441125971
29,330.931,234.7354105445958
30,335.591,238.25792417518875
31,340.389,238.82092319481828
32,345.115,240.19062318339596
33,349.857,234.62062615806815
34,354.574,240.23129301644934
35,364.041,242.4524560926815
36,378.233,238.22655133300472
37,382.89,242.40895471385267
38,387.606,244.44252526525113
39,392.412,242.718896813541
40,411.267,246.20867611147057
41,415.97,246.40328438066558
42,420.735,245.47511222014137
43,425.452,244.4174118074444
44,430.239,246.30204037776943
45,439.63,249.36655469503012
46,444.377,250.9615582139896
47,449.088,256.91391946470236
48,453.768,256.4088013151689
49,458.561,255.19170297182663
50,463.272,260.36390954680905
51,468.037,261.0407102284692
52,472.749,261.97693319113665
53,477.457,261.9314448283237
54,482.217,262.5047960964243
55,486.934,261.4364839499487
56,496.401,261.7168490919265
57,501.118,250.33088778365854
58,505.782,246.01586443120183
59,510.575,247.2109316489698
60,515.255,248.20796802280856
61,519.966,248.10814627059148
62,524.759,241.43278664169895
63,529.433,248.11440350791818
64,534.226,259.6381137130705
65,538.891,259.0448944431742
66,543.608,256.7069036211377
67,548.424,263.73463663280984
68,553.075,263.60529031733483
69,557.792,263.47715125676694
70,562.551,263.9363389070168
71,567.26,263.64960663460283
72,586.168,258.1044939285495
73,590.922,257.44908997682273
74,595.644,262.7392782731775
75,600.381,259.1786646965093
76,609.824,263.2210599713159
77,614.566,257.7198141258722
78,619.288,258.8721548074459
79,624.009,259.3321779880351
80,628.756,260.22809745723794
81,633.467,254.74761329171352
82,638.137,252.65572575050496
83,642.934,247.77673840865916
84,647.656,223.8492936976945
85,652.416,209.09229820300237
86,657.128,210.10376341159977
87,661.789,219.01037192144165
88,666.595,211.6142651709451
89,671.264,199.71627926281377
90,675.981,200.74945967527609
91,680.779,254.3665983615599
92,685.448,255.5864030000521
93,690.16,263.8254840593721
94,694.958,260.0758411810512
95,699.627,256.64972266630554
96,704.426,255.4370252610106
97,709.09,255.78176104758776
98,713.802,258.0062824185673
99,718.61,258.0723750252804
100,723.269,258.4543257257689
101,727.991,260.255046237791
102,732.746,257.4651572841061
103,737.46,253.6558496884843
104,742.171,258.8408193227306
105,746.931,263.2028332310792
106,751.653,259.51680808842525
107,761.121,262.70962389586583
108,770.497,262.3164498348874
109,775.305,255.29815328681974
110,780.016,261.70147052107734
111,784.763,255.3235713499529
112,789.475,257.88982140848844
113,798.942,254.56763908285254
114,803.664,255.50282944347308
115,808.328,257.855490378483
116,813.126,259.0425561093364
117,817.796,258.31560707558225
118,822.601,259.208295598859
119,827.323,262.71000405900963
120,831.975,258.81307752833214
121,836.691,256.0435283398478
122,841.456,255.75698535955576
123,846.168,261.08101771428085
